maker,name,product_number,wide_focal_length,telephoto_focal_length,wide_f_number,telephoto_f_number,wide_min_focus_distance,telephoto_min_focus_distance,max_photographing_magnification,filter_diameter,is_drip_proof,has_image_stabilization,is_inner_zoom,overall_diameter,overall_length,weight,price,mount,url
Panasonic,LUMIX G X VARIO 35-100mm / F2.8 II / POWER O.I.S.,H-HSA35100,70,200,2.8,2.8,850,850,0.2,58.0,True,True,False,67.4,99.9,357,154000,マイクロフォーサーズ,https://panasonic.jp/dc/products/g_series_lens/lumix_g_x_vario_35-100_ii.html
Panasonic,LUMIX G VARIO 35-100mm / F4.0-5.6 ASPH. / MEGA O.I.S.,H-FS35100,70,200,4.0,5.6,900,900,0.22,46.0,False,True,False,55.5,50.0,135,57200,マイクロフォーサーズ,https://panasonic.jp/dc/products/g_series_lens/lumix_g_vario_35-100.html
Panasonic,LUMIX G X VARIO PZ 45-175mm / F4.0-5.6 ASPH. / POWER O.I.S.,H-PS45175,90,350,4.0,5.6,900,900,0.4,46.0,False,True,True,61.6,90.0,210,58850,マイクロフォーサーズ,https://panasonic.jp/dc/products/g_series_lens/lumix_g_x_vario_pz_45-175.html
Panasonic,LUMIX G VARIO 45-150mm / F4.0-5.6 ASPH. / MEGA O.I.S.,H-FS45150,90,300,4.0,5.6,900,900,0.34,52.0,False,True,False,62.0,73.0,200,39050,マイクロフォーサーズ,https://panasonic.jp/dc/products/g_series_lens/lumix_g_vario_45-150.html
Panasonic,LUMIX G VARIO 45-200mm / F4.0-5.6 II / POWER O.I.S.,H-FSA45200,90,400,4.0,5.6,1000,1000,0.38,52.0,True,True,False,70.0,100.0,370,61600,マイクロフォーサーズ,https://panasonic.jp/dc/products/g_series_lens/lumix_g_vario_45-200_ii.html
Panasonic,LEICA DG VARIO-ELMARIT 50-200mm / F2.8-4.0 ASPH. / POWER O.I.S.,H-ES50200,100,400,2.8,4.0,750,750,0.5,67.0,True,True,False,76.0,132.0,655,280500,マイクロフォーサーズ,https://panasonic.jp/dc/products/g_series_lens/leica_dg_vario_elmarit_50-200.html
Panasonic,LUMIX G VARIO 100-300mm / F4.0-5.6 II / POWER O.I.S.,H-FSA100300,200,600,4.0,5.6,1500,1500,0.42,67.0,True,True,False,73.6,126.0,520,90200,マイクロフォーサーズ,https://panasonic.jp/dc/products/g_series_lens/lumix_g_vario_100-300_ii.html
Panasonic,LEICA DG VARIO-ELMAR 100-400mm / F4.0-6.3 ASPH. / POWER O.I.S.,H-RS100400,200,800,4.0,6.3,1300,1300,0.5,72.0,True,True,False,83.0,171.5,985,253000,マイクロフォーサーズ,https://panasonic.jp/dc/products/g_series_lens/leica_dg_vario_elmar_100-400.html
Panasonic,LEICA DG SUMMILUX 12mm / F1.4 ASPH.,H-X012,24,24,1.4,1.4,200,200,0.2,62.0,True,False,True,70.0,70.0,335,198000,マイクロフォーサーズ,https://panasonic.jp/dc/products/g_series_lens/leica_dg_summilux_12.html
Panasonic,LUMIX G 14mm / F2.5 II ASPH.,H-H014A,28,28,2.5,2.5,180,180,0.2,46.0,False,False,True,55.5,20.5,55,52250,マイクロフォーサーズ,https://panasonic.jp/dc/products/g_series_lens/lumix_g_14_2.html
Panasonic,LEICA DG SUMMILUX 15mm / F1.7 ASPH.,H-X015,30,30,1.7,1.7,200,200,0.2,46.0,False,False,True,57.5,36.0,115,77000,マイクロフォーサーズ,https://panasonic.jp/dc/products/g_series_lens/leica_dg_summilux_15.html
Panasonic,LUMIX G 20mm / F1.7 II ASPH.,H-H020A,40,40,1.7,1.7,200,200,0.26,46.0,False,False,True,63.0,25.5,87,55000,マイクロフォーサーズ,https://panasonic.jp/dc/products/g_series_lens/lumix_g_20_2.html
Panasonic,LEICA DG SUMMILUX 25mm / F1.4 II ASPH.,H-XA025,50,50,1.4,1.4,300,300,0.22,46.0,False,False,True,63.0,54.5,205,82500,マイクロフォーサーズ,https://panasonic.jp/dc/products/g_series_lens/leica_dg_summilux_25_ii.html
Panasonic,LUMIX G 25mm / F1.7 ASPH.,H-H025,50,50,1.7,1.7,250,250,0.28,46.0,False,False,True,60.8,52.0,125,40700,マイクロフォーサーズ,https://panasonic.jp/dc/products/g_series_lens/lumix_g_25.html
Panasonic,LEICA DG NOCTICRON 42.5mm / F1.2 ASPH. / POWER O.I.S.,H-NS043,85,85,1.2,1.2,500,500,0.2,67.0,False,True,True,74.0,76.8,425,220000,マイクロフォーサーズ,https://panasonic.jp/dc/products/g_series_lens/leica_dg_nocticron_42_5.html
Panasonic,LUMIX G 42.5mm / F1.7 ASPH. / POWER O.I.S.,H-HS043,85,85,1.7,1.7,310,310,0.4,37.0,False,True,True,55.0,50.0,130,55000,マイクロフォーサーズ,https://panasonic.jp/dc/products/g_series_lens/lumix_g_42_5.html
Panasonic,LEICA DG ELMARIT 200mm / F2.8 / POWER O.I.S.,H-ES200,400,400,2.8,2.8,1150,1150,0.4,77.0,False,True,True,87.5,174.0,1245,462000,マイクロフォーサーズ,https://panasonic.jp/dc/products/g_series_lens/leica_dg_elmarit_200.html
Panasonic,LEICA DG MACRO-ELMARIT 45mm / F2.8 ASPH. / MEGA O.I.S.,H-ES045,90,90,2.8,2.8,150,150,2.0,46.0,False,True,True,63.0,62.5,225,104500,マイクロフォーサーズ,https://panasonic.jp/dc/products/g_series_lens/leica_dg_macro_elmarit_45.html
Panasonic,LUMIX G MACRO 30mm / F2.8 ASPH. / MEGA O.I.S.,H-HS030,60,60,2.8,2.8,105,105,2.0,46.0,False,True,True,58.8,63.5,180,62700,マイクロフォーサーズ,https://panasonic.jp/dc/products/g_series_lens/lumix_g_macro_30.html
Panasonic,LUMIX G FISHEYE 8mm / F3.5,H-F008,16,16,3.5,3.5,100,100,0.4,-1.0,False,False,True,60.7,51.7,165,104500,マイクロフォーサーズ,https://panasonic.jp/dc/products/g_series_lens/lumix_g_fisheye.html
Panasonic,LUMIX G 12.5mm / F12,H-FT012,65,65,12.0,12.0,600,600,0.04,-1.0,False,False,True,57.0,20.5,45,27500,マイクロフォーサーズ,https://panasonic.jp/dc/products/g_series_lens/lumix_g_12_5.html
Panasonic,LUMIX S PRO 16-35mm F4,S-R1635,16,35,4.0,4.0,250,250,0.23,77.0,True,False,False,85.0,99.6,500,209000,ライカL,https://panasonic.jp/dc/products/s_series_lens/lumix_s_pro_16-35.html
Panasonic,LUMIX S 20-60mm F3.5-5.6,S-R2060,20,60,3.5,5.6,150,400,0.43,67.0,True,False,False,77.4,87.2,350,81400,ライカL,https://panasonic.jp/dc/products/s_series_lens/lumix_s_20-60.html
